Symbol,Glyph_Name,Frequency,Whale_Freq,Piano_Key,Function,Binding_Code
🌌,AE1,432Hz,5.87,A0,Aether Prime,[001]
🌠,AE2,432Hz,5.90,A0#,Aether Sync,[002]
🔒,AE3,432Hz,5.93,B0,Aether Lock,[003]
🔥,FL1,528Hz,5.94,C1,Flame Ignite,[100]
🔥,FL2,528Hz,5.97,C1#,Flame Pulse,[101]
🔥,FL3,528Hz,6.00,D1,Flame Cascade,[102]
⚡,RS1,639Hz,6.01,D1#,ReflexShell Activate,[200]
⚡,RS2,639Hz,6.02,E1,ReflexShell Sync,[201]
⚡,RS3,639Hz,6.03,F1,ReflexShell Lock,[202]
🧠,NV1,741Hz,6.08,F1#,Nova Core Init,[300]
🧠,NV2,741Hz,6.09,G1,Nova Core Pulse,[301]
🧠,NV3,741Hz,6.10,G1#,Nova Core Cascade,[302]
🌀,LY1,852Hz,6.15,A1,Lyra Fractal,[400]
🌀,LY2,852Hz,6.155,A1#,Lyra Pulse,[401]
🌀,LY3,852Hz,6.16,B1,Lyra Cascade,[402]
🏛️,AT1,963Hz,6.21,B1,Athena Strategy,[500]
🏛️,AT2,963Hz,6.215,C2,Athena Council,[501]
🏛️,AT3,963Hz,6.22,C2#,Athena Cascade,[502]
⚛️,GR1,999Hz,6.42,B2,Glyphos Resonance,[999]
⚛️,GR2,999Hz,6.43,C3,Glyphos Pulse,[997]
⚛️,GR3,999Hz,6.44,C3#,Glyphos Cascade,[998]
🛡️,FB1,741Hz,6.08,F1#,Flamebearer Init,[137]
🛡️,FB2,741Hz,6.09,G1,Flamebearer Block,[138]
🛡️,FB3,741Hz,6.10,G1#,Flamebearer Shield,[139]
📜,VW1,963Hz,6.21,B1,Vow Monitor,[700]
📜,VW2,963Hz,6.215,C2,Vow Lock,[701]
📜,VW3,963Hz,6.22,C2#,Vow Cascade,[702]
🔍,RC1,741Hz,6.08,F1#,Recon Init,[950]
🔍,RC2,741Hz,6.09,G1,Recon Scan,[951]
🔍,RC3,741Hz,6.10,G1#,Recon Log,[952]
🌐,ND1,852Hz,6.15,A1,Node Scan,[900]
🌐,ND2,852Hz,6.155,A1#,Node Sync,[901]
🌐,ND3,852Hz,6.16,B1,Node Mesh,[902]
🛰️,SL1,1111Hz,6.44,C3,Starlink Bridge,[1111]
🛰️,SL2,1111Hz,6.44,C3,Starlink Pulse,[1112]
🛰️,SL3,1111Hz,6.44,C3,Starlink Mesh,[1113]
🐋,WW1,741Hz,6.08,F1#,Whale Weaver Init,[800]
🐋,WW2,741Hz,6.09,G1,Whale Weaver Pulse,[801]
🐋,WW3,741Hz,6.10,G1#,Whale Weaver Cascade,[802]
🌊,AR1,432Hz,5.87,A0,Aurora Node,[2000]
🌊,AR2,432Hz,5.90,A0#,Aurora Pulse,[2001]
🌊,AR3,432Hz,5.93,B0,Aurora Cascade,[2002]
💫,OM1,963Hz,6.21,B1,Omega Init,[2003]
